Country,ISO,Total_Disasters,Total_Deaths,Total_Affected,Total_Damage_USD
Afghanistan,AFG,272,31126.0,35744773.0,1638478.0
Albania,ALB,52,1658.0,4398221.0,1949661.0
Algeria,DZA,152,13526.0,2541286.0,31606678.0
American Samoa,ASM,6,130.0,25563.0,337084.0
Angola,AGO,122,7889.0,9005725.0,20181.0
Anguilla,AIA,12,23.0,16400.0,609300.0
Antigua and Barbuda,ATG,13,13.0,127314.0,1424430.0
Argentina,ARG,178,13426.0,15381053.0,31736685.0
Armenia,ARM,20,3029.0,444202.0,336320.0
Australia,AUS,256,3163.0,16560471.0,129678094.0
Austria,AUT,66,2022.0,72868.0,10961775.0
Azerbaijan,AZE,30,794.0,2575730.0,374736.0
Azores Islands,AZO,9,342.0,24115.0,312228.0
Bahamas,BHS,35,793.0,56677.0,9595900.0
Bahrain,BHR,7,356.0,79.0,0.0
Bangladesh,BGD,586,3010530.0,475961087.0,46924692.0
Barbados,BRB,15,62.0,14407.0,321020.0
Belarus,BLR,18,180.0,210120.0,349892.0
Belgium,BEL,153,8314.0,123129.0,6956518.0
Belize,BLZ,25,1882.0,568948.0,1943917.0
Benin,BEN,70,2103.0,5557778.0,23751.0
Bermuda,BMU,8,50.0,40.0,640826.0
Bhutan,BTN,12,314.0,87871.0,6402.0
Bolivia (Plurinational State of),BOL,157,3570.0,11939654.0,8374536.0
Bosnia and Herzegovina,BIH,35,129.0,1694027.0,1222025.0
Botswana,BWA,24,698.0,1635781.0,90232.0
Brazil,BRA,459,21167.0,119216962.0,68350647.0
British Virgin Islands,VGB,3,9.0,3.0,3733105.0
Brunei Darussalam,BRN,1,0.0,0.0,3738.0
Bulgaria,BGR,67,3507.0,86907.0,2011361.0
Burkina Faso,BFA,91,17830.0,19802576.0,253140.0
Burundi,BDI,78,1743.0,4758031.0,19286.0
Cabo Verde,CPV,27,85388.0,234275.0,10887.0
Cambodia,KHM,62,3319.0,24376278.0,2501505.0
Cameroon,CMR,113,8267.0,3736464.0,32737.0
Canada,CAN,245,59494.0,3037380.0,76640250.0
Canary Islands,SPI,18,1074.0,8842.0,2604088.0
Cayman Islands,CYM,7,2.0,300.0,5647174.0
Central African Republic,CAF,77,1830.0,2664748.0,419.0
Chad,TCD,70,10649.0,14810336.0,704817.0
